CookerStat, GenerateAssetRegistry=0.075791, Initialize=0.387255, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId52889FD841F093EB54C5A6B1E49F8E86_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_AA5441454FA6982A8D3F47BF2FD33810_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.19-14.56.48, Duration=536.032959, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionIdE7F030F842D9E9EA9DAAF6918BA76505_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_AA5441454FA6982A8D3F47BF2FD33810___44A82AC0B74FD5224CB0E02EE30FCDA6BE0A2303, StartTime=2016.04.19-14.56.48, HierarchicalDDC=, DataSize=4194565, Duration=12.413107, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId8C923BF2454C9C1A1CCAFB8F4DF94117_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_AA5441454FA6982A8D3F47BF2FD33810___527230A429CB45A68BBB5BC611380878405CF2E1, StartTime=2016.04.19-14.56.48, HierarchicalDDC=, DataSize=1048837, Duration=8.070000, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId2D869A5F4772916042462C98A90C4625_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_AA5441454FA6982A8D3F47BF2FD33810___C128E67F206099BB49483FDDB03961DCC55C0E94, StartTime=2016.04.19-14.56.48, HierarchicalDDC=, DataSize=262403, Duration=3.394112, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId2D869A5F4772916042462C98A90C4625_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_AA5441454FA6982A8D3F47BF2FD33810___ABF8C9A4190269456612744E04A03BB70D011C68, StartTime=2016.04.19-14.56.48, HierarchicalDDC=, DataSize=65795, Duration=16.718708, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId8C923BF2454C9C1A1CCAFB8F4DF94117_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_AA5441454FA6982A8D3F47BF2FD33810___419488F1AB098AFEE2B68C7BAAE05428D0035C67, StartTime=2016.04.19-14.56.48, HierarchicalDDC=, DataSize=16643, Duration=1.567576, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionIdE7F030F842D9E9EA9DAAF6918BA76505_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_AA5441454FA6982A8D3F47BF2FD33810___140A004F9E2A41C2C90703BF2485BF0C72B775AB, StartTime=2016.04.19-14.56.48, HierarchicalDDC=, DataSize=7468, Duration=1.333881, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId52889FD841F093EB54C5A6B1E49F8E86_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_062697E84EB0EE78B9C1618ED2B6A660_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.19-14.56.49, Duration=2795.182373, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId8C923BF2454C9C1A1CCAFB8F4DF94117_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_062697E84EB0EE78B9C1618ED2B6A__4327F7B34337D36790FC7CA116E86E29750F66D6, StartTime=2016.04.19-14.56.51, HierarchicalDDC=, DataSize=4194569, Duration=10.924478, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionIdE7F030F842D9E9EA9DAAF6918BA76505_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_062697E84EB0EE78B9C1618ED2B6A__E8D4FC85E6C855348C6C832BF81AAE78517CF221, StartTime=2016.04.19-14.56.51, HierarchicalDDC=, DataSize=1048841, Duration=4.188363, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId2D869A5F4772916042462C98A90C4625_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_062697E84EB0EE78B9C1618ED2B6A__B4B2C70FEDA018F1626AE63D37BAC3D1F15A9BF2, StartTime=2016.04.19-14.56.51, HierarchicalDDC=, DataSize=262407, Duration=2.537884, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId2D869A5F4772916042462C98A90C4625_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_062697E84EB0EE78B9C1618ED2B6A__C33B9EC0B0EB93D1693194740E47E759B045A173, StartTime=2016.04.19-14.56.51, HierarchicalDDC=, DataSize=65799, Duration=1.400594, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionIdE7F030F842D9E9EA9DAAF6918BA76505_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_062697E84EB0EE78B9C1618ED2B6A__54F302F0FA70D28EF46B45C512B67AD27B3C2538, StartTime=2016.04.19-14.56.51, HierarchicalDDC=, DataSize=16647, Duration=1.508363, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId2D869A5F4772916042462C98A90C4625_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_062697E84EB0EE78B9C1618ED2B6A__B2498437174F53D8AC6B5B9748AD3A5DD652795B, StartTime=2016.04.19-14.56.51, HierarchicalDDC=, DataSize=7493, Duration=2.719473, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId52889FD841F093EB54C5A6B1E49F8E86_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_E2F950034A19F2DA43AC93A421189BE6_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.19-14.56.52, Duration=483.793274, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionIdE7F030F842D9E9EA9DAAF6918BA76505_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_E2F950034A19F2DA43AC93A421189BE6___12847E089E19EFDF52E8CBB7E70342BE70C9C278, StartTime=2016.04.19-14.56.52, HierarchicalDDC=, DataSize=4194565, Duration=9.016625, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId2D869A5F4772916042462C98A90C4625_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_E2F950034A19F2DA43AC93A421189BE6___E5FD3C09C610662ED51821609CA816C91D402CAB, StartTime=2016.04.19-14.56.52, HierarchicalDDC=, DataSize=1048837, Duration=98.016350, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId8C923BF2454C9C1A1CCAFB8F4DF94117_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_E2F950034A19F2DA43AC93A421189BE6___B6FBF93DBB466DAF38281094A9875CBFB1D81127, StartTime=2016.04.19-14.56.52, HierarchicalDDC=, DataSize=262403, Duration=2.264716, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionId8C923BF2454C9C1A1CCAFB8F4DF94117_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_E2F950034A19F2DA43AC93A421189BE6___F8B5E47CB4AC3EE8E961F55036AADEEF0326EEF8, StartTime=2016.04.19-14.56.52, HierarchicalDDC=, DataSize=65795, Duration=113.119324, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
DDCTransactionIdE7F030F842D9E9EA9DAAF6918BA76505_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_E2F950034A19F2DA43AC93A421189BE6___F8A0C5320A88A15C4769139C8A6D2609BF179E00, StartTime=2016.04.19-14.56.52, HierarchicalDDC=, DataSize=16643, Duration=1.143608, RunGuid=RunIDEEA7E9E7424B620829781AA629D607B9
