CookerStat, GenerateAssetRegistry=0.019345, Initialize=0.100665, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EF3266C94F3C15FDF106C1BE19DE79DA__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=3450, Duration=1.679689, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9DAE103B4738FEDC428517A20866244C__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=625, Duration=1.280982, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C1829E86455F82ED9968338B1B7AC9E9__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1784, Duration=1.191769, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_392A957549267427B1459D9B3DB8D22D__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1283, Duration=1.333091, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1A38CFB44F767F95073657B7AC9F74D2__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=627, Duration=1.303878, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2774B57C4794D201891E4585118E31C8__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1843, Duration=1.323618, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_195B183B4350E10DB208FCABB64EF59F__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=948, Duration=1.163740, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F638022E4C4B2484974F5C8596E9A9CA__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=1555, Duration=1.193348, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5F3548404311F707FF25D88004ABE26A__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=2243, Duration=1.216244, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionIdFB47596442753593B7D9D9B13B48CBFE_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8CCE266B4A09FCA0E0C8C8873AB62062__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=537, Duration=1.588892, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId212FD398467428B6E2E89FA6FCAA3164_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4608022A4D74CE05BC3866ADC0A1FC88__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=2070, Duration=1.057155, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
DDCTransactionId12872A4B40AA3D9AF111C98BBAA18F46_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A290807A4AEE7BC5AD9C2ABE249631E6__1_0_13123_0, StartTime=2016.04.19-16.06.39, HierarchicalDDC=, DataSize=575, Duration=1.318090, RunGuid=RunID6D51CB5F436000C8A40ABCB06F8F9B67
