CookerStat, GenerateAssetRegistry=16.548965, Initialize=32.930550, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
SavePackageTransactionId8ADD1AE24414B58BA43CEC891E56A1FB_0, Filename=../../../../../../Users/Admin/Documents/Unreal Projects/PracticeProject v2/Content/Maps/PracticeMap.umap, AutoPackageBackupDelegate=73.363441, FlushAsyncLoading=0.018552, FlushStreamingFunc=0.085268, BlockTillAllRequestsFinished=0.007499, ResetLoadersForSaveUnMarkAllObjects=329.372223, TagPackageExports=22.328585, BeginCacheForCookedPlatformData=0.005133, SerializeImports=168.435699, GatherLocalizableTextData=300.320526, MarkNames=1.298353, SerializeSummary=0.394758, SerializeNames=1.035839, SerializeGatherableTextData=0.249881, BuildExportMap=1.406517, SortExportsNonSeekfree=24.905556, SortExportsSeekfreeConstructor=19.078560, SortExportsSeekfreeInner=135.002228, SortExportsSeekfree=0.007894, BuildDependencyMap=1.677714, SerializeImportMap=0.127111, SerializeExportMap=0.684902, SerializeDependencyMap=0.169747, SerializeStringAssetReferenceMap=0.004340, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.796413, SerializeExports=71.714149, SerializeBulkData=270.575684, MoveFile=3.206208, UnaccountedTime=79.862701, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId546B9D23402F54FE6796F3AC50C61B99_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_32F4AEBD4E7F7E27788A55BC6EA101ED__1_0_13123_0, StartTime=2016.04.19-18.27.32, HierarchicalDDC=, DataSize=458, Duration=1.620471, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId78638DA941FD5A7DFA7D10B8183C8381_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3C0005E2468315E421B057B898D1A5D4__1_0_13123_0, StartTime=2016.04.19-18.27.32, HierarchicalDDC=, DataSize=458, Duration=1.595601, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId29A6FD1C41B60CC74DDC62BC426120E3_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_22DC67AB4ADF2D986B0FE198DCF39F8B__1_0_13123_0, StartTime=2016.04.19-18.27.32, HierarchicalDDC=, DataSize=458, Duration=1.712453, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId78638DA941FD5A7DFA7D10B8183C8381_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F0AE88B44CDC39D73A2D28BDD764B26F__1_0_13123_0, StartTime=2016.04.19-18.27.32, HierarchicalDDC=, DataSize=2641, Duration=1.147948, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId546B9D23402F54FE6796F3AC50C61B99_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F2F7EA0049E2A38F87787D993B18998A__1_0_13123_0, StartTime=2016.04.19-18.27.32, HierarchicalDDC=, DataSize=2209, Duration=1.190979, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId29A6FD1C41B60CC74DDC62BC426120E3_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CCC3A25247E3A6E5F1B253A3DCBFCFEE__1_0_13123_0, StartTime=2016.04.19-18.27.32, HierarchicalDDC=, DataSize=1616, Duration=1.035839, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId78638DA941FD5A7DFA7D10B8183C8381_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C784E17A4862A1E0F13B08A9E3510047__1_0_13123_0, StartTime=2016.04.19-18.27.32, HierarchicalDDC=, DataSize=789, Duration=1.064263, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId546B9D23402F54FE6796F3AC50C61B99_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2AE12F2D4500B0AD02296E879CBED8D2__1_0_13123_0, StartTime=2016.04.19-18.27.32, HierarchicalDDC=, DataSize=2701, Duration=1.110844, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId29A6FD1C41B60CC74DDC62BC426120E3_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6898994E40921A50327B1B8209499556__1_0_13123_0, StartTime=2016.04.19-18.27.32, HierarchicalDDC=, DataSize=1689, Duration=1.187429, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId78638DA941FD5A7DFA7D10B8183C8381_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DCCDB7A7490DD1C9F17FD2808EB55928__1_0_13123_0, StartTime=2016.04.19-18.27.32, HierarchicalDDC=, DataSize=2411, Duration=1.324799, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
DDCTransactionId546B9D23402F54FE6796F3AC50C61B99_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3DA63BF649D8FAF2FAC860B6A96BA757__1_0_13123_0, StartTime=2016.04.19-18.27.32, HierarchicalDDC=, DataSize=817, Duration=19.313440, RunGuid=RunIDD3A8C2464B9AB7AF7D9D57B1B8896111
