CookerStat, GenerateAssetRegistry=0.024080, Initialize=0.101060, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D69005E848FC461A4B14C9B330CFEC09__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=458, Duration=1.753505, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5A7EDCBA42C3BE7C04B48ABC1A9D11FE__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=458, Duration=1.648896, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7CA6C9454C4898B7C55DDAB7ECBDF1EF__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=458, Duration=1.599550, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_404ACBE24D8DD9D1D4C2E0950CB67C3B__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=397, Duration=0.995576, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5373ED26466D39A5250CFE8624582D3C__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=817, Duration=1.155056, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_056512434642FEDBEE37B5B133D5E4AC__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=423, Duration=1.305062, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_11F688E547C1D7FD58A999B583B6930F__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=837, Duration=1.005050, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_374DCE254A43BFD1400B4993442DB17F__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=347, Duration=0.841226, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionId21112CA94E495771011B21B731272010_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CB83F7D1449B5859A5E5719DA2887968__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=1319, Duration=0.928860, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdC80E5E9141CD24D9A784028F55D42357_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7596876244EEB1877421998AE9ED09F8__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=513, Duration=1.495335, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
DDCTransactionIdE6CDC3A942B25623D87F6CA8597B6A5E_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E4021BFC4A0BF6932628D9BBE7E6E986__1_0_13123_0, StartTime=2016.04.20-12.59.48, HierarchicalDDC=, DataSize=3445, Duration=0.995178, RunGuid=RunID184F8C9E4D485C943D6030BCB3E20F22
