CookerStat, GenerateAssetRegistry=0.032764, Initialize=0.196192, RunGuid=RunIDF491F6C14BFB3230CC5478B89F958384
DDCTransactionId7618A16A4B4D6FC21830AF8C902FA209_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_8A6AF50E486A60D8769B5CAA9CF8019B_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.23-13.51.43, Duration=581.183533, RunGuid=RunIDF491F6C14BFB3230CC5478B89F958384
DDCTransactionIdD9C72552468E427A6ACA3BAAB994A671_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_8A6AF50E486A60D8769B5CAA9CF8019B___C0AABB471C375DFA3D52969168CCFAE1D98E0B78, StartTime=2016.04.23-13.51.44, HierarchicalDDC=, DataSize=4194565, Duration=18.816046, RunGuid=RunIDF491F6C14BFB3230CC5478B89F958384
DDCTransactionId03A8C7CC46402F0487346DAD879D361E_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_8A6AF50E486A60D8769B5CAA9CF8019B___00C106F11BCA814078E893914565DF903A3E87D3, StartTime=2016.04.23-13.51.44, HierarchicalDDC=, DataSize=1048837, Duration=4.983008, RunGuid=RunIDF491F6C14BFB3230CC5478B89F958384
DDCTransactionId9CE919E9439CED9DA6CF58985D03649E_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_8A6AF50E486A60D8769B5CAA9CF8019B___287DEB91C0069C1CA3683004109C9882221656CD, StartTime=2016.04.23-13.51.44, HierarchicalDDC=, DataSize=262403, Duration=2.714340, RunGuid=RunIDF491F6C14BFB3230CC5478B89F958384
DDCTransactionId9CE919E9439CED9DA6CF58985D03649E_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_8A6AF50E486A60D8769B5CAA9CF8019B___9EEBEEC71F6999C27D663B13FF6D05487902E99A, StartTime=2016.04.23-13.51.44, HierarchicalDDC=, DataSize=65795, Duration=2.074443, RunGuid=RunIDF491F6C14BFB3230CC5478B89F958384
DDCTransactionId03A8C7CC46402F0487346DAD879D361E_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_8A6AF50E486A60D8769B5CAA9CF8019B___BC0C1AAED20294BA0CD6ABA2A91BB4BE73C504FE, StartTime=2016.04.23-13.51.44, HierarchicalDDC=, DataSize=16643, Duration=11.136860, RunGuid=RunIDF491F6C14BFB3230CC5478B89F958384
DDCTransactionId9CE919E9439CED9DA6CF58985D03649E_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_8A6AF50E486A60D8769B5CAA9CF8019B___536A6A858079DD484DB96E3461C199B1C0D793C3, StartTime=2016.04.23-13.51.44, HierarchicalDDC=, DataSize=7468, Duration=1.712847, RunGuid=RunIDF491F6C14BFB3230CC5478B89F958384
DDCTransactionId7618A16A4B4D6FC21830AF8C902FA209_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3DEBF7A44965B82DD8041DB9503EA501_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.23-13.51.44, Duration=2786.142578, RunGuid=RunIDF491F6C14BFB3230CC5478B89F958384
DDCTransactionId9CE919E9439CED9DA6CF58985D03649E_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3DEBF7A44965B82DD8041DB9503EA__0FB474926351BFC6B817DA85C424897923C7F8B7, StartTime=2016.04.23-13.51.47, HierarchicalDDC=, DataSize=4194569, Duration=54.621609, RunGuid=RunIDF491F6C14BFB3230CC5478B89F958384
DDCTransactionIdD9C72552468E427A6ACA3BAAB994A671_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3DEBF7A44965B82DD8041DB9503EA__410272D845530063F54D87EDA4E3C94218C858FF, StartTime=2016.04.23-13.51.47, HierarchicalDDC=, DataSize=1048841, Duration=3.692940, RunGuid=RunIDF491F6C14BFB3230CC5478B89F958384
DDCTransactionId03A8C7CC46402F0487346DAD879D361E_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3DEBF7A44965B82DD8041DB9503EA__318CEFC303A5C82FFFC8F7542B0BDF525379CB2F, StartTime=2016.04.23-13.51.47, HierarchicalDDC=, DataSize=262407, Duration=2.474330, RunGuid=RunIDF491F6C14BFB3230CC5478B89F958384
DDCTransactionId03A8C7CC46402F0487346DAD879D361E_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3DEBF7A44965B82DD8041DB9503EA__5E6878CB62EA73009CCE08E93339FCD8C9436566, StartTime=2016.04.23-13.51.47, HierarchicalDDC=, DataSize=65799, Duration=1.640208, RunGuid=RunIDF491F6C14BFB3230CC5478B89F958384
DDCTransactionIdD9C72552468E427A6ACA3BAAB994A671_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3DEBF7A44965B82DD8041DB9503EA__66DF4D49CFEAA1408D70D965214532AA27781AD8, StartTime=2016.04.23-13.51.47, HierarchicalDDC=, DataSize=16647, Duration=1.554552, RunGuid=RunIDF491F6C14BFB3230CC5478B89F958384
DDCTransactionId03A8C7CC46402F0487346DAD879D361E_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3DEBF7A44965B82DD8041DB9503EA__5769583F3AC2D5D787A698D0D63B9633C2E4CBB3, StartTime=2016.04.23-13.51.47, HierarchicalDDC=, DataSize=7493, Duration=1.570340, RunGuid=RunIDF491F6C14BFB3230CC5478B89F958384
