CookerStat, GenerateAssetRegistry=0.021711, Initialize=0.105005, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionIdD9469F70460684F3E8314397F803DF9E_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_34171A1046FDF1145DEF28A592AA7824__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=458, Duration=1.348093, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionIdFB88243A4B9B48F3C76106BD338C9835_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5AE9038A4D80EFA00A1E51A648393727__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=458, Duration=1.035444, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionId62BCC6B84B7728D2B0CD3A873DC8B19A_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4B78988948AC111EB937BFB0CFD40D9C__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=458, Duration=1.130186, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionIdD9469F70460684F3E8314397F803DF9E_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0E205C9744F45668A4B3E8AFDF0CBE35__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=2641, Duration=0.948992, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionIdFB88243A4B9B48F3C76106BD338C9835_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_266684A84401EBC24350E48C0130AD52__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=2209, Duration=0.774510, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionId62BCC6B84B7728D2B0CD3A873DC8B19A_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_66A982DC4E77B50EE93DCB928D2BD3A1__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=1616, Duration=0.888202, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionIdD9469F70460684F3E8314397F803DF9E_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6E1FADBC4164C78BF3BD5A85B5721903__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=789, Duration=0.779249, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionIdFB88243A4B9B48F3C76106BD338C9835_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C42604714A37CD706F6CB993AFAB53F4__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=2701, Duration=0.962809, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionId62BCC6B84B7728D2B0CD3A873DC8B19A_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B0E3B3004B1298344A3E3E8E587A4F8F__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=1689, Duration=1.123477, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionIdD9469F70460684F3E8314397F803DF9E_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2EB8241947B28D55F3F8F4877B687A63__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=2411, Duration=0.788722, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
DDCTransactionIdFB88243A4B9B48F3C76106BD338C9835_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D48E7337467DA6E1921E18893A9EF1E9__1_0_13123_0, StartTime=2016.04.24-00.19.09, HierarchicalDDC=, DataSize=817, Duration=0.970706, RunGuid=RunID1620ABEE4C321210379E118E07B8E8B6
